0,1,2
CAMKK1,pp,AKT1
CAMKK1,pp,CAMK1
CAMKK1,pp,CAMK1D
CAMKK1,pp,PRKACB
DDR2,pp,SRC
CDC42BPA,pp,LIMK2
CDC42BPA,pp,CDC42BPA
CDC42BPA,pp,LIMK1
SYNJ1,pp,PPP3CA
SYNJ1,pp,CDK5
SYNJ1,pp,EPHB2
PTPRD,pp,PTPRA
PTPRD,pp,PTPRF
PTPRD,pp,PTPRE
LRRK1,pp,PAK4
FER,pp,FER
FER,pp,EGFR
FER,pp,LTK
FER,pp,SRC
FER,pp,INSR
FER,pp,JAK1
BRSK1,pp,CDC25C
BRSK1,pp,CDC25B
BRSK1,pp,WEE1
GRK6,pp,GRK6
GRK6,pp,IGF1R
GRK6,pp,LTK
GRK6,pp,PDPK1
GRK6,pp,PHKG1
GRK6,pp,PRKCB1
PPP1R12A,pp,MAPK3
PPP1R12A,pp,MAPK1
PPP1R12A,pp,PRKDC
PPP1R12A,pp,PRKCA
PPP1R12A,pp,INSR
TSSK6,pp,TSSK6
TSSK6,pp,BCR
PPP5C,pp,PPP5C
PPP5C,pp,MAP3K5
ACPP,pp,ERBB2
ACPP,pp,ACPP
ACPP,pp,PTK2B
NUAK1,pp,PRKAA1
NUAK1,pp,SNF1LK
NUAK1,pp,SNF1LK2
NUAK1,pp,PPP2R1B
NUAK1,pp,PPP2R2A
NUAK1,pp,PPP2CA
NUAK1,pp,NUAK2
NUAK1,pp,BRSK1
NUAK1,pp,BRSK2
NUAK1,pp,MARK1
NUAK1,pp,MARK2
NUAK1,pp,MARK3
NUAK1,pp,MARK4
NUAK1,pp,SNRK
LMTK2,pp,PPP1R2
DAPK1,pp,MAPK1
DAPK1,pp,DAPK1
DAPK1,pp,STK17B
DAPK1,pp,STK17A
DAPK1,pp,MAP3K5
DAPK1,pp,PRKCA
PTPRF,pp,PTPRA
PTPRF,pp,RET
PTPRF,pp,PTPRF
PTPRF,pp,LCK
CDC25A,pp,RAF1
CDC25A,pp,CDC25A
